"","depth","lake","upper_age","lower_age","Gomphonema.cf.geisslerae","Encyonopsis.subminuta","Gomphonema.sp.1.LLAVIUCU.cf.netriviale","Sellaphora.pupula","Gomphonema.parvulum","Gomphonema.sp.2.LLAVIUCU.cf.variostriatum","Navicula.radiosa","Eunotia.cf.andinofrequens","Hannaea.arcus","Orthoseria.roseana","Staurosirella.pinnata","Encyonopsis.sp.1.LLAVIUCU","Fragilaria.capuccina.agg","Brachysira.microcephala.neoxilis","Nitzschia.amphibia","Pseudostaurosira.brevistriata","Ulnaria.cf.ulna.var.amphyrhynchus","Navicula.cryptotenella","Fragilaria.cf.capucina","Cymbella.cymbiformis.cystula","Ephitemia.adnata","Fragilaria.vaucheriae","Cocconeis.placentula.var.placentula","Denticula.kuetzingii","Staurosira.construens.var.venter","Diatoma.tenuis","Aulacoseira.cf.distans","Fragilaria.tenera","Aulacoseira.alpigena","Nupela.sp.1.LLAVIUCU","Tabellaria.flocculosa.str.IV","Achnanthidium.minutissimum","Discostella.stelligera","X"
"24",93,"llaviucu",1765,1802,1.08695652173913,0.93167701863354,1.5527950310559,0.15527950310559,0,2.17391304347826,4.19254658385093,0,1.24223602484472,0,0,3.88198757763975,0,0,0,0,4.81366459627329,0.31055900621118,4.19254658385093,5.74534161490683,0,0,2.95031055900621,4.34782608695652,0,0.15527950310559,0.31055900621118,0,0.77639751552795,19.8757763975155,2.17391304347826,20.0310559006211,0.77639751552795,10.0931677018634
"25",97,"llaviucu",1908,1941,0.133155792276964,2.52996005326232,1.19840213049268,0,0,1.19840213049268,1.99733688415446,0.399467376830892,1.4647137150466,0,0.266311584553928,4.92676431424767,0,3.46205059920106,0,0,3.46205059920106,0,2.92942743009321,5.59254327563249,0,0,2.39680426098535,1.99733688415446,0.399467376830892,0.133155792276964,0,0,3.99467376830892,25.5659121171771,1.73102529960053,10.9187749667111,0.399467376830892,8.92143808255659
"26",98,"llaviucu",1941,1973,0.483870967741935,0.483870967741935,1.61290322580645,0.161290322580645,0,0.806451612903226,0.32258064516129,0.967741935483871,0.645161290322581,0.161290322580645,0,4.35483870967742,0,5.32258064516129,0,0,1.61290322580645,0.32258064516129,3.70967741935484,2.41935483870968,0.161290322580645,0.161290322580645,2.74193548387097,1.29032258064516,0,0,0,0,2.41935483870968,32.4193548387097,0.483870967741935,16.6129032258065,0,10.9677419354839
"27",101,"llaviucu",2035,2052,1.71339563862928,3.27102803738318,3.42679127725857,0.467289719626168,0,2.64797507788162,1.4018691588785,0.934579439252336,2.18068535825545,0,0,5.29595015576324,0,4.98442367601246,0.155763239875389,0,1.4018691588785,0,3.42679127725857,4.04984423676012,0.155763239875389,0,1.86915887850467,3.11526479750779,0.155763239875389,0.778816199376947,0,1.4018691588785,0.623052959501558,16.3551401869159,1.4018691588785,18.380062305296,1.24610591900312,10.7476635514019
"28",103,"llaviucu",2070,2099,0.299850074962519,2.09895052473763,5.39730134932534,0.299850074962519,0,0.149925037481259,0,0.749625187406297,2.99850074962519,0,0,5.24737631184408,0,3.59820089955022,0,0,2.99850074962519,0.449775112443778,4.047976011994,6.89655172413793,1.04947526236882,0.449775112443778,0,2.24887556221889,0,0,0.449775112443778,0,0.149925037481259,16.9415292353823,1.04947526236882,22.1889055472264,1.04947526236882,10.4947526236882
"29",105,"llaviucu",2127,2155,0.522648083623693,0.871080139372822,1.21951219512195,0.174216027874564,0,1.74216027874564,0.348432055749129,0,1.21951219512195,0,0,2.61324041811847,0,3.65853658536585,0.174216027874564,0.174216027874564,1.39372822299652,0,1.56794425087108,3.83275261324042,1.74216027874564,0.871080139372822,1.91637630662021,3.48432055749129,1.21951219512195,0,0,0.174216027874564,0.174216027874564,36.2369337979094,0,10.801393728223,0,12.3693379790941
"30",107,"llaviucu",2182,2208,0.746268656716418,1.04477611940299,4.47761194029851,0,0,1.7910447761194,0.597014925373134,0.447761194029851,1.04477611940299,0,0.149253731343284,6.11940298507463,0,4.02985074626866,0,0,2.6865671641791,0,2.83582089552239,4.47761194029851,1.49253731343284,0,1.04477611940299,5.52238805970149,0,0,0,0,1.04477611940299,22.6865671641791,0,15.9701492537313,0,10.7462686567164
"31",108,"llaviucu",2208,2234,0.473186119873817,2.05047318611987,2.6813880126183,0,0,0.788643533123028,0.788643533123028,0.315457413249211,0.473186119873817,0,0.473186119873817,5.36277602523659,0,5.5205047318612,0,0,1.57728706624606,0,1.57728706624606,3.31230283911672,2.6813880126183,0,1.89274447949527,6.94006309148265,0,0,0,0,1.41955835962145,32.4921135646688,0,9.93690851735016,0,11.5141955835962
"32",110,"llaviucu",2260,2285,1.62074554294976,2.10696920583468,1.62074554294976,0.162074554294976,0,2.43111831442464,1.13452188006483,1.29659643435981,1.45867098865478,0,0.324149108589951,5.51053484602917,0,5.67260940032415,0.162074554294976,0,2.26904376012966,0,3.07941653160454,5.51053484602917,0,0.648298217179903,1.13452188006483,2.75526742301459,1.29659643435981,0,0.162074554294976,0,0.486223662884927,23.6628849270665,0,16.8557536466775,0,11.9935170178282
"33",111,"llaviucu",2285,2310,0.149925037481259,1.79910044977511,1.64917541229385,0.299850074962519,0,3.14842578710645,1.94902548725637,0,1.34932533733133,0,0.149925037481259,5.69715142428786,0,5.09745127436282,0,0,0.299850074962519,0.599700149925038,1.79910044977511,5.84707646176912,2.39880059970015,0.149925037481259,1.34932533733133,2.09895052473763,0,0.149925037481259,0,0,1.34932533733133,26.0869565217391,0,12.2938530734633,0,11.2443778110945
