"","depth","upper_age","lower_age","Monolete.psilate","Polypodium","Ophioglossum","Allantodia","Cyathea","Aspleniaceae","Asplenium","Cyclosorus","Selaginella","Trilete","Hymenophyllaceae","Pteris","Adiantum","Spore.47","Blechnum","Lophosoria","Isoetes","Acalypha","Alchornea","Amaranthaceae","Ambrosia","Caryophyllaceae","Celtis","Clethra","Melast.Combret","Meliaceae.Bruniaceae","Morac.Urtica","Myrica.Morella","Myrsine","Plantago","Poaceae","Podocarpus","Polylepis","Solanaceae","Symplocos","Thalictrum","Weinmannia","Valeriana","Vallea","Apiaceae","Eryngium..Apiaceae.","Psyllocarpus.Micrandra.","Licania","Virola","Aechmea","Rubiaceae..cf.Uncaria.","Rubiaceae..cf.Hoffmannia.","Aralia","Juglandaceae","Tricolp..8..Poma.","Pagamea..Rub.","Malanea..Rub.","Dodonaea..Sapind..","Brassicaceae","cf.Rubiaceae","Lamiaceae","cf.Rhamnaceae","Fagara..Rubiaceae.","Alseis","cf.Sapindaceae","Carapa..Meliaceae.","Piper","Uncaria.2","Myrtaceae"
"11",25,881,945,9.9644128113879,1.77935943060498,0.711743772241993,0.355871886120996,2.84697508896797,1.42348754448399,0.711743772241993,0.711743772241993,0.355871886120996,0.711743772241993,0.355871886120996,0,0,0.355871886120996,0,0,5.69395017793594,2.13523131672598,0.711743772241993,0,0,0,0,0.711743772241993,2.84697508896797,0,8.18505338078292,1.42348754448399,0.711743772241993,0,46.2633451957295,1.42348754448399,2.13523131672598,0,2.13523131672598,1.06761565836299,0.711743772241993,0,0,0.355871886120996,0,0,0,0,0,0.355871886120996,0,0.355871886120996,0,0,0.355871886120996,0,0,0.355871886120996,0.355871886120996,0,0,0,0,0,0,0,0.355871886120996,0
"12",27.5,945,1010,6.52173913043478,1.44927536231884,0.36231884057971,0.72463768115942,1.08695652173913,0.72463768115942,0.36231884057971,1.44927536231884,0,1.08695652173913,0,0,0.72463768115942,0,0.36231884057971,0,3.6231884057971,2.17391304347826,1.08695652173913,0.72463768115942,0.36231884057971,0,1.44927536231884,0.36231884057971,2.89855072463768,0,5.79710144927536,0.72463768115942,2.53623188405797,1.08695652173913,46.7391304347826,0.72463768115942,1.81159420289855,0.36231884057971,3.98550724637681,1.81159420289855,0.36231884057971,1.08695652173913,0.36231884057971,0,0,0.36231884057971,0,0,0,0,0,0,0,0,0,0,0.36231884057971,0,0.36231884057971,0.72463768115942,0.36231884057971,0,0.36231884057971,0,0,0,0,0
"13",30,1010,1050,6.55172413793103,1.03448275862069,0.344827586206897,0.689655172413793,1.03448275862069,1.37931034482759,0,0,2.41379310344828,1.03448275862069,0,0,0.689655172413793,0.344827586206897,0,0,6.55172413793103,3.10344827586207,1.03448275862069,0.344827586206897,0,0,0,0,5.17241379310345,0,6.55172413793103,1.03448275862069,0.689655172413793,0.689655172413793,44.1379310344828,1.03448275862069,2.41379310344828,1.37931034482759,1.03448275862069,2.06896551724138,0.689655172413793,0.344827586206897,2.06896551724138,0.344827586206897,0,0.344827586206897,0,0.344827586206897,0,0,0,0,0,0.344827586206897,0.344827586206897,0,0.344827586206897,0,0.344827586206897,0.689655172413793,0,0.344827586206897,0,0,0,0,0,0
"14",32.5,1050,1142,5.20446096654275,1.48698884758364,0.371747211895911,0.743494423791822,2.23048327137546,1.11524163568773,0,0,0.743494423791822,0.371747211895911,0.371747211895911,0,0,0,0,0,4.83271375464684,2.23048327137546,0.743494423791822,0,0,0,1.11524163568773,0.743494423791822,2.60223048327138,0.743494423791822,4.46096654275093,2.23048327137546,1.48698884758364,0,48.6988847583643,0.743494423791822,2.60223048327138,1.11524163568773,2.97397769516729,2.23048327137546,0.743494423791822,0.743494423791822,0.743494423791822,0,0.371747211895911,0,0,0,0.371747211895911,0.371747211895911,0.371747211895911,0.371747211895911,0,0,0,0.371747211895911,0.371747211895911,0.371747211895911,0,0,0,0,0.371747211895911,0,0,0.371747211895911,0.371747211895911,0
"15",35,1142,1205,8.68167202572347,0.964630225080386,0.321543408360129,1.28617363344051,0.964630225080386,0.643086816720257,1.60771704180064,1.28617363344051,0.321543408360129,0.321543408360129,0,0.321543408360129,0,0,0.321543408360129,0,5.78778135048232,5.78778135048232,1.28617363344051,0,0,0,0.321543408360129,0.321543408360129,5.14469453376206,0,3.53697749196141,1.28617363344051,0.643086816720257,0,45.9807073954984,0.964630225080386,2.89389067524116,0.964630225080386,1.28617363344051,2.2508038585209,0,0.321543408360129,1.28617363344051,0.321543408360129,0,0,0,0.321543408360129,0,0,0,0,0,0,0,0,0,0.321543408360129,0,0.643086816720257,0,0.321543408360129,0,0,0.321543408360129,0,0,0
"16",37.5,1205,1267,13.265306122449,1.02040816326531,1.36054421768707,0.680272108843537,2.04081632653061,0.680272108843537,0.340136054421769,0.340136054421769,0.340136054421769,0.680272108843537,0,0,0,0,0.340136054421769,0.680272108843537,4.42176870748299,3.74149659863946,1.36054421768707,0,0,0,0.340136054421769,1.36054421768707,3.40136054421769,0,4.08163265306122,0.340136054421769,1.02040816326531,1.02040816326531,43.8775510204082,1.36054421768707,2.38095238095238,0.340136054421769,3.06122448979592,1.36054421768707,0.340136054421769,1.02040816326531,1.02040816326531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.680272108843537,0,0,0,0,0,0,0,0
"17",40,1267,1318,6.45161290322581,1.4336917562724,0.716845878136201,0.3584229390681,2.1505376344086,1.4336917562724,0.716845878136201,1.4336917562724,0.3584229390681,0,0.3584229390681,0,0.716845878136201,0,0,0,2.8673835125448,2.8673835125448,0,0,0,0.3584229390681,0,1.4336917562724,3.584229390681,0,5.37634408602151,0.716845878136201,0.716845878136201,0,53.0465949820789,1.0752688172043,0,0,0,0.716845878136201,1.4336917562724,0,1.4336917562724,0.716845878136201,0,0,0,0,0,0,0.716845878136201,0,0.716845878136201,0,0,0,0,1.7921146953405,0.716845878136201,0,0.3584229390681,0,0.3584229390681,0,0,0.3584229390681,0,0
"18",42.5,1318,1368,5.55555555555556,2.96296296296296,1.85185185185185,0.37037037037037,1.11111111111111,1.48148148148148,1.11111111111111,1.11111111111111,0.37037037037037,0,0,0.37037037037037,0,0,0,0,4.07407407407407,2.59259259259259,0.740740740740741,0.37037037037037,0.740740740740741,0,0.740740740740741,1.85185185185185,6.2962962962963,0,6.66666666666667,2.59259259259259,2.22222222222222,0,40,1.85185185185185,0.37037037037037,1.85185185185185,2.22222222222222,0.740740740740741,0.740740740740741,0.740740740740741,0.37037037037037,0.37037037037037,0,0,0,0,0,0.37037037037037,0,0,0,0.37037037037037,0.37037037037037,0,0,0.37037037037037,1.11111111111111,0.740740740740741,0,0.740740740740741,0,0,0,0,0,0
"19",45,1368,1406,9.45945945945946,0.337837837837838,0.337837837837838,2.02702702702703,1.01351351351351,0.337837837837838,0,2.7027027027027,0,0.337837837837838,0.675675675675676,0.675675675675676,0,0,0.337837837837838,0,3.37837837837838,2.7027027027027,1.68918918918919,1.35135135135135,0.337837837837838,0,0.337837837837838,2.36486486486486,3.71621621621622,0,6.08108108108108,1.35135135135135,1.01351351351351,0,37.1621621621622,1.01351351351351,2.36486486486486,0.337837837837838,4.39189189189189,0.675675675675676,1.01351351351351,0.675675675675676,0.337837837837838,1.01351351351351,0,0.675675675675676,0,0,0,0,0,1.01351351351351,0,0,0,0,0,0,0.337837837837838,2.36486486486486,0,0.675675675675676,0,0,1.01351351351351,0,0,0
"20",47.5,1406,1445,5.83333333333333,0.833333333333333,1.25,0.833333333333333,0.833333333333333,1.66666666666667,0.416666666666667,0.416666666666667,0,0,0.833333333333333,0,0,0,0,0.416666666666667,5.41666666666667,2.91666666666667,1.66666666666667,0.833333333333333,0.833333333333333,0,0,1.25,4.16666666666667,0,5.83333333333333,2.08333333333333,0.833333333333333,0.833333333333333,43.75,2.5,0.416666666666667,1.25,2.91666666666667,0.416666666666667,0.416666666666667,0.416666666666667,1.66666666666667,0,0.416666666666667,0,0,0,0,0,0,0,0.833333333333333,0,0,0,0,0,0,1.66666666666667,0,0,0,0,0,0,0,0
