"","depth","Acalypha","Alchornea","Allantodia","Aspleniaceae","Asplenium","Brassicaceae","Clethra","Cyathea","Cyclosorus","Isoetes","Melast.Combret","Monolete.psilate","Morac.Urtica","Myrica.Morella","Myrsine","Ophioglossum","Plantago","Poaceae","Podocarpus","Polylepis","Polypodium","Selaginella","Symplocos","Thalictrum","Trilete","Valeriana","Vallea","Weinmannia","upper_age","lower_age","Alnus","Asteraceae.1","Asteraceae..lig.","Begoniaceae","Cecropia","Charcoal.cc.","Cyperaceae","Hedyosmum","Rumex","Sporormiella","Zea.mays"
"17",40,3.11284046692607,0,0.389105058365759,1.55642023346304,0.778210116731518,1.94552529182879,1.55642023346304,2.33463035019455,1.55642023346304,3.11284046692607,3.89105058365759,7.00389105058366,5.83657587548638,0.778210116731518,0.778210116731518,0.778210116731518,0,57.5875486381323,1.16731517509728,0,1.55642023346304,0.389105058365759,0,0.778210116731518,0,0,1.55642023346304,1.55642023346304,1267,1318,37.9334689103611,10.5370746973225,0,0,1.05370746973225,0.951497845168224,12.644489636787,16.859319515716,0,18.9667344551805,1.05370746973225
"18",42.5,2.86885245901639,0.819672131147541,0.409836065573771,1.63934426229508,1.22950819672131,0.409836065573771,2.04918032786885,1.22950819672131,1.22950819672131,4.50819672131148,6.9672131147541,6.14754098360656,7.37704918032787,2.86885245901639,2.45901639344262,2.04918032786885,0,44.2622950819672,2.04918032786885,0.409836065573771,3.27868852459016,0.409836065573771,2.45901639344262,0.819672131147541,0,0.819672131147541,0.409836065573771,0.819672131147541,1318,1368,59.9467358510962,7.86186699686508,0,0,0,1.72666253918649,9.82733374608135,7.86186699686508,0,12.7755338699058,0
"19",45,3.125,1.953125,2.34375,0.390625,0,0,2.734375,1.171875,3.125,3.90625,4.296875,10.9375,7.03125,1.5625,1.171875,0.390625,0,42.96875,1.171875,2.734375,0.390625,0,5.078125,0.78125,0.390625,0.78125,0.390625,1.171875,1368,1406,54.6746856205577,11.1834584223868,0,0,3.72781947412893,1.83408718127143,12.4260649137631,6.21303245688155,0,9.94085193101049,0
"20",47.5,3.25581395348837,1.86046511627907,0.930232558139535,1.86046511627907,0.465116279069767,0,1.3953488372093,0.930232558139535,0.465116279069767,6.04651162790698,4.65116279069767,6.51162790697674,6.51162790697674,2.32558139534884,0.930232558139535,1.3953488372093,0.930232558139535,48.8372093023256,2.7906976744186,0.465116279069767,0.930232558139535,0,3.25581395348837,0.465116279069767,0,0.465116279069767,1.86046511627907,0.465116279069767,1406,1445,56.8064449493906,12.9105556703161,0,0,3.44281484541761,0.15836948288921,6.02492597948082,11.1891482476072,0,9.46774082489844,0
"21",50,2.89256198347107,0,1.2396694214876,1.65289256198347,0.826446280991736,0.826446280991736,1.65289256198347,0.826446280991736,1.65289256198347,4.13223140495868,9.50413223140496,9.09090909090909,4.95867768595041,2.47933884297521,0.826446280991736,0.413223140495868,0.413223140495868,42.9752066115703,2.06611570247934,2.47933884297521,1.65289256198347,0,0.826446280991736,0.826446280991736,0.826446280991736,0.826446280991736,1.65289256198347,2.47933884297521,1445,1483,46.3406345577559,12.3575025487349,0,2.05958375812248,1.02979187906124,0.110187731059553,14.4170863068574,16.4766700649799,0,7.20854315342869,0
"22",52.5,3.40425531914894,0.425531914893617,0.851063829787234,1.27659574468085,0.425531914893617,0,2.97872340425532,1.70212765957447,0.851063829787234,0,5.95744680851064,6.38297872340426,4.68085106382979,0.425531914893617,2.97872340425532,0.851063829787234,0,51.063829787234,2.5531914893617,3.40425531914894,1.70212765957447,0.425531914893617,1.27659574468085,1.27659574468085,1.27659574468085,0.425531914893617,1.27659574468085,2.12765957446809,1483,1521,42.8571428571429,13.0952380952381,0,0,2.38095238095238,0,7.14285714285714,28.5714285714286,0,5.95238095238095,0
"23",55,1.5748031496063,1.5748031496063,0.78740157480315,1.96850393700787,0.393700787401575,1.18110236220472,1.18110236220472,3.54330708661417,1.18110236220472,1.18110236220472,5.11811023622047,9.44881889763779,6.2992125984252,3.1496062992126,1.5748031496063,1.5748031496063,1.5748031496063,37.4015748031496,3.54330708661417,2.75590551181102,2.36220472440945,0.393700787401575,1.96850393700787,2.36220472440945,1.5748031496063,0.78740157480315,1.96850393700787,1.5748031496063,1521,1561,40.5437634152158,14.3095635583115,0,2.38492725971858,2.38492725971858,1.02551872167899,9.53970903887431,23.8492725971858,0,4.76985451943716,1.19246362985929
"24",57.5,1.56862745098039,0.784313725490196,0.392156862745098,1.56862745098039,0.392156862745098,0,2.74509803921569,1.96078431372549,0.784313725490196,2.74509803921569,7.05882352941176,10.5882352941176,7.84313725490196,0.392156862745098,2.74509803921569,1.17647058823529,0.392156862745098,42.7450980392157,2.74509803921569,2.35294117647059,1.56862745098039,0,1.96078431372549,2.35294117647059,0.784313725490196,1.17647058823529,0.784313725490196,0.392156862745098,1561,1601,45.2909069794449,19.7421902218093,0,0,0,0.127743583788178,3.48391592149576,22.0648008361398,0,9.29044245732203,0
"25",60,3.50877192982456,1.75438596491228,1.75438596491228,1.31578947368421,0,1.75438596491228,2.63157894736842,1.75438596491228,1.75438596491228,2.63157894736842,5.70175438596491,8.7719298245614,5.26315789473684,0,1.31578947368421,2.19298245614035,1.75438596491228,38.1578947368421,3.50877192982456,1.75438596491228,2.63157894736842,0.43859649122807,1.75438596491228,2.19298245614035,0.87719298245614,2.63157894736842,0.87719298245614,1.31578947368421,1601,1640,35.3185289832678,15.8933380424705,0,2.64888967374509,0,0.225155622268333,11.4785219195621,28.2548231866143,0.882963224581696,4.41481612290848,0.882963224581696
"26",62.5,2.28310502283105,1.82648401826484,0.45662100456621,0.91324200913242,0.45662100456621,0,3.19634703196347,1.82648401826484,0,2.28310502283105,8.21917808219178,8.67579908675799,7.76255707762557,2.73972602739726,2.73972602739726,2.28310502283105,0,38.8127853881278,2.73972602739726,0.91324200913242,1.36986301369863,1.36986301369863,4.10958904109589,0.91324200913242,0,0,2.73972602739726,1.36986301369863,1640,1680,59.0230439264457,6.6504838226981,0,0,0.831310477837263,0.242742659528481,8.31310477837263,20.7827619459316,0,3.32524191134905,0.831310477837263
