Depthmm,DepthCm,age_calBP,Ti,runningmeanTi,Ca,Carunningmean,Si,Sirunningmean,MnFe,MnFerunningmean,IncCoh,IncCohrunningmean,TiLog
1237,123.7,2637,3.594427153,3.621189055,6.904996881,7.091645033,3.696747852,3.849814338,13.37833504,10.49274003,5797.445903,5698.249624,0.555629686
1238,123.8,2639,3.490784329,3.616774755,6.615867443,7.093006554,3.75674885,3.853035321,13.60202998,10.43090459,5746.326073,5697.738812,0.542923018
1239,123.9,2640,3.179357294,3.613683335,6.090697113,7.095203988,4.589799255,3.844332216,11.00894034,10.38449558,5912.451694,5698.22553,0.502339336
1240,124,2642,3.419688775,3.615944517,5.982795313,7.103242021,2.45686378,3.842882529,11.39460713,10.38404416,5810.825862,5696.969284,0.533986583
1241,124.1,2644,3.935467771,3.608264804,6.680515556,7.099775669,6.812035045,3.854611166,13.59525663,10.37936353,5702.991979,5696.859988,0.59499636
1242,124.2,2645,4.430477391,3.599642104,7.237676163,7.090133976,5.969908976,3.831811384,12.99522742,10.36536407,5746.975554,5698.449517,0.646450525
1243,124.3,2647,3.987057504,3.587113972,7.431984985,7.081277363,4.769371712,3.811543165,13.2861326,10.34573245,5746.517159,5699.520636,0.600652499
1244,124.4,2649,4.832959105,3.579729492,6.987536972,7.066245463,4.469788768,3.802185023,11.80680835,10.32911079,5702.484543,5700.576304,0.68421312
1245,124.5,2650,4.62959752,3.562462158,7.119523377,7.057273243,3.675935109,3.810302874,12.08127403,10.3172744,5612.18522,5701.97472,0.665543237
1246,124.6,2652,4.444803905,3.550960894,6.962588395,7.046977078,4.219750542,3.808504716,11.71647712,10.31529004,5553.804425,5704.295032,0.647852606
1247,124.7,2653,5.731803451,3.53960934,7.847946045,7.038849392,5.360427433,3.803931988,11.95714442,10.30625183,5493.794454,5707.230546,0.75829129
1248,124.8,2655,5.279946041,3.516235393,7.791696819,7.02423583,6.217900528,3.788915405,12.15145004,10.29333469,5400.619631,5710.328492,0.722629484
1249,124.9,2657,4.66909856,3.497235918,7.128316529,7.004097457,4.26947564,3.779292256,12.90330296,10.2808966,5477.127122,5714.309642,0.669233042
1250,125,2658,4.299100386,3.480199997,7.193510535,6.990693694,4.76166182,3.764886871,12.2269382,10.23849888,5581.180914,5718.231564,0.633377586
1251,125.1,2660,4.410920995,3.47103466,6.95892815,6.980411281,4.387297088,3.760927024,12.84209383,10.22137826,5694.00842,5722.200807,0.644529279
1252,125.2,2662,3.951792789,3.462007558,7.061291074,6.97575555,4.294703199,3.754035193,12.48648798,10.20671567,5756.814582,5724.017985,0.596794164
1253,125.3,2663,4.273719648,3.457776729,6.676007029,6.970863598,3.964614139,3.760294622,12.15312652,10.18006252,5831.99686,5725.386113,0.630806029
1254,125.4,2665,3.812997906,3.452724611,6.253855983,6.97147387,2.798221275,3.756019563,12.3853479,10.15424524,5784.132064,5723.566531,0.581266567
1255,125.5,2667,3.585693085,3.455185198,5.919713676,6.979401334,3.718496532,3.758747318,11.4735829,10.12599596,5788.710646,5722.502287,0.554573114
1256,125.6,2668,3.633271743,3.453645174,5.497326553,6.985326046,3.335677028,3.755344103,11.16281011,10.11276175,5729.704189,5721.796717,0.560297881
1257,125.7,2670,2.946505315,3.450885644,4.582078569,6.992169047,3.648348658,3.766513245,11.97162282,10.08966015,5636.430053,5721.042581,0.469307229
1258,125.8,2672,2.33463035,3.451860776,4.165337756,7.007452221,4.05051987,3.775706006,9.867528622,10.05538195,5505.710715,5723.078996,0.368218127
1259,125.9,2673,3.018467081,3.459280578,4.565637639,7.030705825,4.651408288,3.772880277,8.196804054,10.05372775,5700.162352,5726.98502,0.479786444
1260,126,2675,3.709342185,3.45825291,4.828247963,7.049817306,3.560154748,3.761747725,9.225031536,10.06904579,5612.893875,5729.485146,0.569296899
1261,126.1,2676,3.90296377,3.454020431,5.016618627,7.066104276,4.275331338,3.773231497,9.373042263,10.08331767,5612.828021,5731.508607,0.59139452
1262,126.2,2678,3.68378796,3.444342423,5.12761694,7.079644466,5.667366092,3.777507499,10.79910995,10.0904036,5570.919044,5733.431682,0.566294624
