"","depth","upper_age","lower_age","Zea.mays","Hedyosmum","Rumex","Alnus","Cyperaceae","Cecropia","Asteraceae.1","Asteraceae..lig.","Sporormiella"
"33",80,1914,1953,0,35.2459016393443,0,46.7213114754098,8.19672131147541,0.819672131147541,5.73770491803279,0,3.27868852459016
"34",82.5,1953,1992,0.840336134453782,35.2941176470588,0,36.1344537815126,8.40336134453782,0.840336134453782,13.4453781512605,0,5.04201680672269
"35",85,1992,2030,0,40.5172413793103,0,41.3793103448276,10.3448275862069,0,4.31034482758621,0,3.44827586206897
"36",87.5,2030,2068,0,37.5,0,42.8571428571429,8.92857142857143,0,8.03571428571429,0,2.67857142857143
"37",90,2068,2106,0,41.5254237288136,0,33.0508474576271,15.2542372881356,0.847457627118644,7.6271186440678,0,1.69491525423729
"38",92.5,2106,2144,0,38.5542168674699,0,43.3734939759036,4.81927710843374,0,9.63855421686747,0,3.6144578313253
"39",95,2144,2183,0,28.9473684210526,0,48.6842105263158,5.26315789473684,0,9.21052631578947,0,7.89473684210526
"40",97.5,2183,2222,0,34.7107438016529,0,33.8842975206612,11.5702479338843,1.65289256198347,14.8760330578512,0,3.30578512396694
"41",100,2222,2261,0,19.3548387096774,0,50.5376344086022,11.8279569892473,3.2258064516129,8.60215053763441,0,6.45161290322581
"42",102.5,2261,2299,0.746268656716418,38.0597014925373,0,23.8805970149254,14.9253731343284,0,14.9253731343284,0,7.46268656716418
"43",105,2299,2338,0.943396226415094,38.6792452830189,0,40.5660377358491,6.60377358490566,0,8.49056603773585,0,4.71698113207547
"44",107.5,2338,2377,0,53.3333333333333,0,23.3333333333333,10,1.66666666666667,8.33333333333333,0,3.33333333333333
"45",110,2377,2415,0,42.7272727272727,0,33.6363636363636,13.6363636363636,0.909090909090909,6.36363636363636,0,2.72727272727273
"46",112.5,2415,2454,0,52.3364485981308,0,25.2336448598131,6.54205607476635,1.86915887850467,12.1495327102804,0,1.86915887850467
"47",115,2454,2493,0,43.5294117647059,0,28.2352941176471,9.41176470588235,2.35294117647059,14.1176470588235,0,2.35294117647059
"48",117.5,2493,2533,2.66666666666667,40,0,17.3333333333333,13.3333333333333,0,21.3333333333333,0,5.33333333333333
"49",120,2533,2571,0,44.4444444444444,0,20.9876543209877,14.8148148148148,1.23456790123457,13.5802469135802,0,4.93827160493827
"50",122.5,2571,2609,0,50.6329113924051,0,17.7215189873418,10.126582278481,0,15.1898734177215,0,6.32911392405063
"51",125,2609,2650,1.20481927710843,55.421686746988,1.20481927710843,9.63855421686747,8.43373493975904,1.20481927710843,19.2771084337349,0,3.6144578313253
"52",127.5,2650,2690,0,36.144578313253,0,21.6867469879518,13.2530120481928,0,16.8674698795181,0,12.0481927710843
"53",130,2690,2727,0,32.7586206896552,0,27.5862068965517,18.9655172413793,0,17.2413793103448,0,3.44827586206897
"54",132.5,2727,2765,1.25,35,0,35,12.5,2.5,10,0,3.75
"55",135,2765,2804,0,21.7391304347826,0,39.1304347826087,14.4927536231884,0,14.4927536231884,0,10.1449275362319
"56",137.5,2804,2842,1.63934426229508,21.3114754098361,0,44.2622950819672,8.19672131147541,0,14.7540983606557,0,9.83606557377049
"57",140,2842,2881,0,28.3950617283951,0,34.5679012345679,12.3456790123457,1.23456790123457,18.5185185185185,0,4.93827160493827
"58",142.5,2881,2919,0,28.5714285714286,0,34.2857142857143,17.1428571428571,0,17.1428571428571,0,2.85714285714286
"59",145,2919,2959,0,24.7058823529412,0,42.3529411764706,11.7647058823529,3.52941176470588,11.7647058823529,0,5.88235294117647
"60",147.5,2959,2999,0,36.6666666666667,0,26.6666666666667,10,0,23.3333333333333,0,3.33333333333333
"61",150,2999,3046,0,11.7647058823529,1.96078431372549,23.5294117647059,13.7254901960784,1.96078431372549,35.2941176470588,0,11.7647058823529
"62",152.5,3046,3077,0,12.5,0,43.75,12.5,0,25,0,6.25
"63",155,3077,3115,0,16.3636363636364,0,25.4545454545455,18.1818181818182,3.63636363636364,21.8181818181818,0,14.5454545454545
"64",157.5,3115,3154,0,19.6078431372549,0,33.3333333333333,17.6470588235294,0,27.4509803921569,0,1.96078431372549
"65",160,3154,3192,0,17.4603174603175,0,39.6825396825397,12.6984126984127,4.76190476190476,25.3968253968254,0,0
"66",162.5,3192,3230,0,12.9032258064516,0,38.7096774193548,12.9032258064516,4.83870967741935,20.9677419354839,0,9.67741935483871
"67",165,3230,3268,0,6.45161290322581,0,38.7096774193548,12.9032258064516,3.2258064516129,25.8064516129032,0,12.9032258064516
"68",167.5,3268,3306,0,20.9677419354839,0,29.0322580645161,12.9032258064516,4.83870967741935,19.3548387096774,0,12.9032258064516
"69",170,3306,3345,0,17.6470588235294,0,21.5686274509804,19.6078431372549,1.96078431372549,31.3725490196078,0,7.84313725490196
"70",172.5,3345,3384,0,14.8148148148148,0,25.9259259259259,12.962962962963,1.85185185185185,31.4814814814815,0,12.962962962963
"71",175,3384,3422,0,15.3846153846154,0,33.8461538461538,13.8461538461538,1.53846153846154,24.6153846153846,0,10.7692307692308
"72",177.5,3422,3460,2.56410256410256,17.9487179487179,0,15.3846153846154,12.8205128205128,15.3846153846154,25.6410256410256,0,10.2564102564103
