"","Age","agropastoralism","charcoal","diatoms","MnFe","pollen","Ti","elapsedTime"
"24",46,1.85759896455071,0.602817291452009,5.22940553518815,5.01173653061613,1.31918569533718,7.41052914738936,8
"25",54,1.82326340902214,0.604804600868041,4.89776876518976,5.02512792635771,1.31754746704654,7.46508678411762,9
"26",63,1.78574546972071,0.607052108930702,4.55835311598238,5.04092546120153,1.31572458009216,7.51170484433433,8
"27",71,1.75337524439137,0.60906069943264,4.28603814120346,5.05563690649667,1.3141232673332,7.53901343109397,7
"28",78,1.72580135009887,0.610826806188675,4.06972208457623,5.06903360840973,1.31273765810166,7.55136344473667,7
"29",85,1.69892216205171,0.612601144584149,3.87303662380792,5.08292038809398,1.31136727327804,7.55250522402489,3
"30",88,1.6876138519494,0.613364146367876,3.79450875606799,5.08902095025231,1.31078479600088,7.54948424424565,5
"31",93,1.66904684624829,0.614639304740136,3.67098397923207,5.09938605441915,1.30982064060834,7.53968974308995,11
"32",104,1.62942292278574,0.617460345046564,3.42944429340001,5.12303884169287,1.30772982272801,7.49698507388139,10
"33",114,1.5948453680302,0.620044214028557,3.2424397416501,5.14551378870132,1.3058670634648,7.43283582313192,1
"34",115,1.5914625504632,0.620303636426003,3.22529748635817,5.14780977619542,1.30568285681693,7.42510454337477,6
"35",121,1.57144963483754,0.621864199768921,3.12796433031652,5.16176203279116,1.30458575199975,7.373759848047,5
"36",126,1.55514209857656,0.623170015357588,3.05367485046793,5.17361127480498,1.30368236701496,7.32456340298677,1
"37",127,1.55192072421469,0.62343176937698,3.03951761743385,5.17600427651932,1.30350289925762,7.31403693386429,17
"38",144,1.49918254914662,0.62791248331689,2.83050062570187,5.21774115413457,1.30051591171384,7.10158716492675,22
"39",166,1.43650609888282,0.633801450898726,2.63213460233873,5.27399665343971,1.29684088520687,6.74261970057347,14
"40",180,1.39981341304859,0.637605068934758,2.53819536601423,5.31044714285868,1.29462275522619,6.47447679970741,20
"41",200,1.35159052890584,0.643118877270179,2.43828018900152,5.36226713067771,1.29162884862555,6.05413633418547,18
"42",218,1.31231019164854,0.648165994872388,2.37795774294403,5.40745919291512,1.28912149313885,5.65445301526141,33
"43",251,1.249728239242,0.657624444904909,2.33197815991474,5.48246586124199,1.28499430292725,4.920185244108,11
"44",262,1.2313236421592,0.660831133351501,2.33412842096826,5.50412708550434,1.28374873588448,4.68603760995525,55
"45",317,1.15508682658371,0.677199401218662,2.44620937561285,5.57589340338233,1.27843477891746,3.6851530087168,68
"46",385,1.09077601492266,0.697974484743249,2.66632631003101,5.56088043721108,1.27378268068327,2.95379062137739,60
"47",445,1.05536709792754,0.716479405349533,2.72940276958257,5.46138557283023,1.27121127293436,2.789963866618,11
"48",456,1.05067890960057,0.719862789532802,2.72190259740676,5.43767605166424,1.27087869120201,2.80809910071676,45
"49",501,1.03651441549079,0.73359786720877,2.66071312408798,5.33649327027237,1.26992105091836,3.04313423323247,39
"50",540,1.02992693638594,0.7452880152692,2.62812362827245,5.25868628202092,1.26956746722898,3.46733993254522,47
"51",587,1.027445435958,0.758987603057321,2.65769117856819,5.20033773879783,1.26964925960139,4.25426556513412,45
"52",632,1.02854902649161,0.771586919022361,2.72424077210164,5.19678722993003,1.27016687924967,5.21498108255649,92
"53",724,1.03216574717239,0.795328064767038,2.80810676903711,5.35233639321468,1.27221897988497,6.63039387955455,63
"54",787,1.03149678619317,0.809782813484195,2.83646694018829,5.51195896723995,1.27415955298277,5.87685979614816,127
"55",914,1.02827924666245,0.834421313908501,2.9402046771755,5.31682237085644,1.27899464625637,2.59136811420861,124
"56",1038,1.03771592015213,0.852999492932498,2.69429006844887,4.42100101086406,1.28434174129183,2.58167276442506,117
"57",1155,1.07240126973687,0.86574287939467,2.29942352193822,4.55358158296356,1.28911481998201,4.57509048439043,100
"58",1255,1.13055050150097,0.873399811162689,2.05778624834673,5.22836165123029,1.29261313813297,4.8017531155635,94
"59",1349,1.2270369452983,0.878105156684195,1.92547826354553,5.33398185540463,1.29529403689441,4.1303710062322,81
"60",1430,1.35802091557315,0.880531140255282,2.09402039501062,4.93572142515474,1.29752941237456,3.60559627075916,75
"61",1505,1.50860987720094,0.881934453917617,2.26558770917484,4.63093452567066,1.29997920174405,3.0476809262295,131
"62",1636,1.79323398029876,0.883312070897237,1.66574912945168,4.71587456233116,1.30653665696932,2.78866307045113,54
"63",1690,1.91353946236431,0.883577888643669,1.38146514413843,4.81530756857247,1.3107749688827,3.05901965688579,13
"64",1703,1.94155108551811,0.883617618271251,1.33247738154377,4.83100630510931,1.31197453845094,3.1259196295021,62
"65",1765,2.06193235126744,0.883671825972308,1.20060399956048,4.8494284931356,1.31878257383571,3.29236087871124,74
"66",1839,2.16389536587803,0.883455216420193,1.16199104536619,4.78992892378985,1.32953722109653,3.25543595736866,69
"67",1908,2.21842692890294,0.883064475504283,1.1491877576626,4.73819924901947,1.34239459431398,3.79728769918784,33
"68",1941,2.23410489988606,0.882841199247888,1.15381210055403,4.73273374338326,1.34954111197448,4.55252996488513,94
"69",2035,2.25499776616787,0.882096664757174,1.19151317681598,4.81029032440065,1.37348480855934,8.55149315628442,35
"70",2070,2.25781323864426,0.88176675734374,1.1867349332276,4.86929700767764,1.38375731387651,9.45107205822449,57
"71",2127,2.26388111002084,0.881107317058783,1.14541917021649,4.96997949703968,1.40202454789974,8.03010243095643,55
"72",2182,2.28035422992157,0.880186531877295,1.110917210653,5.02048520046409,1.42140605781811,5.0038934426119,26
"73",2208,2.29438895945939,0.879598180115504,1.11640626495177,5.01274599150488,1.43115775110744,3.86454183924758,52
"74",2260,2.33619426962919,0.878046841621749,1.19051247893301,4.93284597612096,1.45177426487266,2.56760097636181,25
