"","negAge","deriv_mean_lower","deriv_sd_lower","deriv_mean_upper","deriv_sd_upper","deriv_mean_med","deriv_sd_med","proxy"
"45",-272.714285714286,-0.00101120923197706,0.00340380592483019,0.000266042619803334,0.00597976393592786,-0.000403738475931372,0.00466577444591235,"diatoms"
"46",-205.571428571429,-0.00151799548961296,0.00395042142229886,-0.000117951216308333,0.00638754734045263,-0.000869598301308051,0.00507578473734826,"diatoms"
"47",-138.428571428572,-0.00310077733479865,0.00633906985075935,-0.00148621997269918,0.00847406263902264,-0.00237207053884343,0.00742553744910657,"diatoms"
"48",-71.2857142857147,-0.00520818847743864,0.00799298380489684,-0.00332897945740329,0.01085044854646,-0.0043824775311472,0.00942106742718051,"diatoms"
"49",-4.14285714285734,-0.0066395779669148,0.00824701514610919,-0.00358038981842386,0.0123261189843227,-0.00515503166917334,0.010143744199649,"diatoms"
"50",63,-0.00697611833998757,0.00860181748193279,-0.00305279382511479,0.0135610450648163,-0.00515691673193011,0.0109642976788201,"diatoms"
"51",-3422,-0.00151322521274086,0.000967813273680196,0.00147054110156569,0.00504346571467847,-3.58914839543312e-06,0.00213360255368622,"agropastoralism"
"52",-3332.74358974359,-0.00141344713435168,0.000923294739285861,0.00142904291415188,0.00499914862020434,-2.73805341727273e-05,0.00198990560091875,"agropastoralism"
"53",-3243.48717948718,-0.00124653122172003,0.000954323694930729,0.00126812369478148,0.00450755794102191,-9.55271922323253e-05,0.00185735240278044,"agropastoralism"
"54",-3154.23076923077,-0.00124570242333197,0.000873664838199166,0.00118795579850646,0.00415650426093049,-9.35035484694868e-05,0.001797676269202,"agropastoralism"
"55",-3064.97435897436,-0.00122154468628082,0.000845455543946558,0.00112095199316017,0.00369097938395806,-2.00159158303403e-05,0.00175480317494871,"agropastoralism"
"56",-2975.71794871795,-0.00119632350074607,0.000868760019844071,0.00106312492297751,0.00356300679439778,1.10561719911251e-05,0.00167487038892461,"agropastoralism"
"57",-2886.46153846154,-0.00104336853618217,0.000893746078895388,0.000988433360429603,0.00360806636674566,-1.01765028995282e-05,0.00155229489269613,"agropastoralism"
"58",-2797.20512820513,-0.000926350321506175,0.000893998492077141,0.000823564899844448,0.00337088421729911,-4.43464403557248e-05,0.00150945424016322,"agropastoralism"
"59",-2707.94871794872,-0.000883343387766099,0.000944935880405404,0.000691890214341982,0.00316904770379736,-2.78863007888153e-05,0.00147617817417482,"agropastoralism"
"60",-2618.69230769231,-0.00083394375682494,0.000785095210412453,0.00074980493273083,0.00286359754900675,9.66102155997017e-06,0.00132099964253039,"agropastoralism"
"61",-2529.4358974359,-0.000672039609131078,0.000599963761105389,0.000704523406767771,0.00264855316244241,5.03108540150787e-05,0.00118253036182047,"agropastoralism"
"62",-2440.17948717949,-0.000571368947649503,0.000656085275438785,0.000747589198869109,0.00255479005151439,8.48493478239343e-05,0.00116195501921878,"agropastoralism"
"63",-2350.92307692308,-0.00061589549755045,0.000678054472763932,0.000707214750409912,0.00262850846404686,6.44388384563044e-05,0.00118047057726285,"agropastoralism"
"64",-2261.66666666667,-0.000675394200828794,0.000632503151716187,0.000701027868905552,0.00255209128857594,5.76328453238961e-05,0.00115352544760234,"agropastoralism"
"65",-2172.41025641026,-0.000702626766931447,0.000545978522009951,0.000666310189446545,0.00244000613463281,6.99381632868201e-05,0.00106786381769471,"agropastoralism"
"66",-2083.15384615385,-0.000563197343731822,0.000475195366687703,0.000700864705035248,0.00232859765579913,0.000117364132005138,0.000957866373573075,"agropastoralism"
"67",-1993.89743589744,-0.000555538023072601,0.000340888298855859,0.000745799474828196,0.00256118921267897,7.03776818870849e-05,0.000897355888478631,"agropastoralism"
"68",-1904.64102564103,-0.000556095724035435,0.000401746682149998,0.000748247201658142,0.00268582022070573,2.95758853557926e-05,0.000977105962483118,"agropastoralism"
"69",-1815.38461538462,-0.000616049504495064,0.000528298739134131,0.000675890550376923,0.00253125924388155,3.967576524877e-05,0.00110499093549688,"agropastoralism"
"70",-1726.12820512821,-0.000713495272484072,0.000692222694509334,0.000645064742727908,0.00251474477188463,5.93208052868111e-05,0.0012176282124852,"agropastoralism"
"71",-1636.87179487179,-0.000607814663796113,0.000895095896177813,0.000716136968790582,0.00272766396690999,3.82055590641972e-05,0.00139705479707124,"agropastoralism"
"72",-1547.61538461538,-0.000523479986063335,0.00107599025672698,0.000729297739697793,0.00300452466155628,3.23612306241117e-05,0.00162694849180536,"agropastoralism"
"73",-1458.35897435897,-0.000523946855729068,0.00118699658259837,0.000696770195376166,0.00312476921389749,4.65760424089856e-05,0.00178645889205098,"agropastoralism"
"74",-1369.10256410256,-0.000511674279465968,0.00120379996073073,0.000771743202392844,0.0031889955519207,4.2486073987269e-05,0.00184323428394297,"agropastoralism"
