"","Age","Ti","elapsedTime_ti","elapsedTime_diat","diatPrC","pollenPrC","agropastPrC"
"59",1349,3.780830843,40,5,0.599252929235915,0.688511659298448,0.707902457984904
"60",1430,2.781172564,40,28,0.341243670796864,0.484197905410575,0.651507072421921
"61",1505,3.059312068,47,45,1.14830960598167,0.594905366496952,0.489499675200608
"62",1636,2.256045739,31,19,0.308510016196559,0.582012903273944,0.407411200364793
"63",1690,2.860699516,38,13,0.317831179017773,0.639000438996956,0.465636700731769
"64",1703,2.253658537,39,39,0.225430952755143,0.683513625783578,0.438603809038955
"65",1765,2.6130587215,38,37,0.21673490033325,0.572317015030415,0.443223251696347
"66",1839,3.590935722,38,35,0.141713747395133,0.661541504556819,0.37667888985653
"67",1908,4.795827874,38,33,0.154427796233422,0.620290441469799,0.119546012566766
"68",1941,3.6783714455,38,32,0.0861285991097339,0.531947327041047,0.367823054138482
"69",2035,15.24512082,39,17,0.289372735526785,0.525579560651992,0.506783723801211
"70",2070,10.8433255,39,29,0.301119236361422,0.582158948454708,0.37161609187929
"71",2127,3.88700976,38,28,0,0.577020437954452,0.333075315326122
"72",2182,3.473160126,38,26,0.168767742943261,0.526310975364196,0.591530226520432
"73",2208,3.174218215,6,26,0.0306943836564168,0.346449658073017,0.764648083634862
"74",2260,3.8372348155,7,25,0.185135168144854,0.176628747696414,0.867067033440335
"75",2285,3.9535335745,258,25,0.112054604509597,0.39879077754679,0.8840269718186
"76",2358,2.8176572495,257,24,0.461762248234496,0.106497490982175,0.225453016553838
"77",2382,2.851340401,66,23,0.534621285331414,0.360971581417737,0.0455453412953278
"78",2450,6.708427577,65,22,0.695884791193805,0.14811875042268,0
"79",2488,9.729419024,70,21,0.594083470124282,0.214234990082681,0
"80",2509,4.349601434,70,22,0.46529370527837,0.343586463955549,0.098000399478821
"81",2551,3.073322574,70,21,0.700649752010483,0.262556447883707,0.140928379854806
"82",2586,9.2795748385,71,5,0.726393026113356,0.197235878959586,0
"83",2613,2.919133177,64,3,0.732358113766992,0.300633566959127,0.0309924035397073
"84",2649,4.832959105,65,19,0.737353306334353,0.18880010386023,0.0213108176281981
"85",2687,2.9308028225,40,18,0.63293774531789,0.178538247067396,0.0762299419416382
"86",2707,2.333453168,92,10,0.668667144434224,0.330768663650058,0
"87",2735,3.4071935465,63,17,0.62032474449076,0.231866681060375,0.109774683648548
"88",2752,4.4429293785,62,7,0.686238942719693,0.235994696003833,0.127890345447896
"89",2776,2.79651503,51,17,0.627513872024415,0.5011933754002,0.150167004822989
"90",2793,5.513171701,50,10,0.640321439507782,0.25544472847113,0.0157209385526536
"91",2820,3.309648591,38,16,0.567780097434652,0.186991171068198,0.0360501332260047
"92",2852,3.6155498825,39,16,0.268809938466496,0.242026013058525,0.0490384101742976
"93",2884,3.092447381,38,16,0.564435622129478,0.398562427639689,0.303429274835093
"94",2931,3.981306981,38,15,0.564390902643875,0.221727473829746,0.792499185549119
"95",2961,3.9385449375,40,1,0.592760990807637,0.400603079882683,0.678131762974542
"96",2967,3.886905151,40,15,0.578671328522267,0.185269694917549,0.211641905007388
"97",2997,4.1023896565,39,3,0.641574755253462,0.380254525368809,0.648678268838258
"98",3000,3.559553816,40,3,0.626971261982463,0.270286984204825,0.197825584458381
"99",3016,4.919711139,39,12,0.556598137557033,0,0.804578824282996
"100",3036,3.619886954,39,9,0.214876815614179,0.396646184180117,0.80285846351358
"101",3045,NA,39,15,0.555121789035638,0.200091124979495,0.84189521279694
"102",3064,NA,39,11,0.244246165602975,0.0878042953878617,0.804965470497237
"103",3083,NA,39,13,0.607018765279094,0.426797039442141,0.850125781219053
"104",3104,NA,39,9,0.638976163628134,0.125607109451371,0.804578824282996
"105",3113,NA,39,10,0.608092385520144,0.206048823889833,0.8097681796961
"106",3140,NA,39,11,0.647919718295047,0.385803132968544,0.726324549838421
"107",3162,NA,38,10,0.630743114690525,0.254184396941869,0.828105709857391
"108",3181,NA,38,13,0.664990625997127,0.211178812543097,0.817365646581123
"109",3194,NA,38,14,0.650400230241274,0.421032148277486,0.896886299447135
"110",3208,NA,38,19,0.63895797378383,0.287285508073531,0.816397836274793
"111",3227,NA,39,18,0.658597497014126,0.289021018198854,0.793884927179212
