"","Age","Ti","charcoal","elapsedTime_ti","elapsedTime_diat","diatPrC","pollenPrC","agropastPrC"
"72",2182,3.473160126,2.19491903674493,38,26,0.168767742713251,0.52631097310225,1.37547480849632
"73",2208,3.174218215,2.01006019679287,6,26,0.0306943834000924,0.34644965781097,0.682147970120763
"74",2260,3.8372348155,0.623133123803229,7,25,0.185135167806019,0.176628745191769,0.753457800117093
"75",2285,3.9535335745,0.104180757641615,258,25,0.112054604230059,0.398790776312491,0.793501076156986
"76",2358,2.8176572495,0.522445556891926,257,24,0.461762248132799,0.106497491518781,0.7055163686697
"77",2382,2.851340401,-0.521054866043928,66,23,0.534621285148797,0.360971583517269,0.156069229088405
"78",2450,6.708427577,0.527656580091721,65,22,0.695884790957857,0.148118749095077,0.157181903079337
"79",2488,9.729419024,-0.532300867717528,70,21,0.594083470162557,0.214234986353948,0.230739948647119
"80",2509,4.349601434,0.0723456360702682,70,22,0.465293705195252,0.343586460010511,0.514204732060124
"81",2551,3.073322574,1.64290851582387,70,21,0.700649750341389,0.262556444097638,1.26113748390013
"82",2586,9.2795748385,1.04192088479304,71,5,0.726393025877213,0.197235878026403,0.404834225438785
"83",2613,2.919133177,-0.563900908774907,64,3,0.732358113372471,0.30063356366433,0.360010270586678
"84",2649,4.832959105,-0.117786483621683,65,19,0.737353306021316,0.188800101959605,0.360010270586678
"85",2687,2.9308028225,-0.723523338543244,40,18,0.632937744985783,0.178538246457385,0.391519833434061
"86",2707,2.333453168,-0.60271651950826,92,10,0.668667144273216,0.330768662237358,0.341214648637888
"87",2735,3.4071935465,-0.516567854319037,63,17,0.620324744424704,0.231866679052809,0.433098628893255
"88",2752,4.4429293785,-0.76081539154567,62,7,0.686238942236329,0.23599469237715,0.510574609685211
"89",2776,2.79651503,-0.780972661260311,51,17,0.627513871825489,0.501193371556916,0.522925666035637
"90",2793,5.513171701,-0.52346862500601,50,10,0.640321439124209,0.255444727396682,0.283924053315017
"91",2820,3.309648591,-0.527264165097565,38,16,0.5677800973063,0.186991172857261,0.292268824263057
"92",2852,3.6155498825,-0.305400552458636,39,16,0.268809938238096,0.242026012167402,0.218664835493328
"93",2884,3.092447381,0.918414753981649,38,16,0.564435621974719,0.398562429639968,0.621181989410035
"94",2931,3.981306981,-0.246277519747736,38,15,0.564390902155052,0.221727472606994,0.73114448219464
"95",2961,3.9385449375,-0.275986976168604,40,1,0.59276099067033,0.400603078489621,1.01687542850225
"96",2967,3.886905151,-0.307246491185343,40,15,0.578671328442207,0.185269693363009,0.647807759294824
"97",2997,4.1023896565,-0.46354406626904,39,3,0.641574755665992,0.380254526126365,0.985292542497926
"98",3000,3.559553816,-0.484041117701679,40,3,0.626971262118025,0.270286985268653,0.0219799874366082
"99",3016,4.919711139,-0.645276527201302,39,12,0.55659813754331,0,0
"100",3036,3.619886954,-0.84682078907583,39,9,0.214876815488595,0.396646184161359,0.982690786596809
"101",3045,NA,-0.937515706919368,39,15,0.555121788981529,0.200091123627706,0.941547725852728
"102",3064,NA,-0.0505590100152747,39,11,0.244246165404804,0.0878042946141957,0.944657989770197
"103",3083,NA,0.399870297976844,39,13,0.607018764979593,0.426797039522574,0.891564808351083
"104",3104,NA,-0.291129507656341,39,9,0.638976163957564,0.125607109149002,0.979839115392054
"105",3113,NA,-0.587272281499135,39,10,0.608092385045071,0.20604882354053,0
"106",3140,NA,-0.0845061622435761,39,11,0.647919717973323,0.385803131725067,0.927087335282625
"107",3162,NA,0.0627552150501986,38,10,0.630743114500546,0.254184394213893,0.824778967324672
"108",3181,NA,-0.34370459453385,38,13,0.66499062630213,0.211178811290699,0.82483444249043
"109",3194,NA,-0.579748605273561,38,14,0.65040022989085,0.421032149466059,0.860065126261076
"110",3208,NA,-0.584824820558286,38,19,0.638957973798525,0.287285503713919,0.81891227057595
"111",3227,NA,-0.591713969873269,39,18,0.658597496097233,0.289021016843364,0.692244759407502
