"","Acalypha","Achnanthidium.minutissimum","Allantodia","Alnus","Aspleniaceae","Asteraceae.1","Asteraceae..lig.","Aulacoseira.alpigena","Aulacoseira.cf.distans","Brachysira.microcephala.neoxilis","Cecropia","Clethra","Cocconeis.placentula.var.placentula","Cyathea","Cyclosorus","Cymbella.cymbiformis.cystula","Cyperaceae","Denticula.kuetzingii","Diatoma.tenuis","Discostella.stelligera","Encyonopsis.sp.1.LLAVIUCU","Encyonopsis.subminuta","Ephitemia.adnata","Fragilaria.capuccina.agg","Fragilaria.cf.capucina","Fragilaria.tenera","Gomphonema.cf.geisslerae","Gomphonema.sp.1.LLAVIUCU.cf.netriviale","Gomphonema.sp.2.LLAVIUCU.cf.variostriatum","Hannaea.arcus","Hedyosmum","Isoetes","Lamiaceae","Melast.Combret","Meliaceae.Bruniaceae","Monolete.psilate","Morac.Urtica","Myrica.Morella","Myrsine","Navicula.radiosa","Nupela.sp.1.LLAVIUCU","Ophioglossum","Orthoseria.roseana","Poaceae","Podocarpus","Polylepis","Polypodium","Selaginella","Sellaphora.pupula","Sporormiella","Staurosira.construens.var.venter","Symplocos","Tabellaria.flocculosa.str.IV","Thalictrum","Ulnaria.cf.ulna.var.amphyrhynchus","Vallea","Weinmannia","Zea.mays"
"57",0,0,0,40.8562367864694,0,18.0655391120508,0,0,0,0,0,0,0,0,0,0,7.65327695560253,0,0,0,0,0,0,0,0,0,0,0,0,0,25.5919661733615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.92389006342495,0,0,0,0,0,0,0,0
"58",2.25817461942794,0,0,0,0,0,0,0,0,0,0,2.39538535053587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.39538535053587,0,5.68707761621953,0,8.62789268892075,5.84340228001911,0,0,0,0,0,0,36.0488770564543,2.78449040890163,0,0,0,0,0,0,0,0,2.02539422486177,0,0,0,0
"59",0,0,0,59.1666666666667,0,6.66666666666667,0,0,0,0,0,0,0,0,0,0,8.33333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,20.8333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.33333333333333,0,0,0,0,0,0,0,0
"60",0,27.4603174603175,0,0,0,0,0,0,0,5.07936507936508,0,0,2.53968253968254,0,0,5.3968253968254,0,2.6984126984127,0,0,9.84126984126984,0,0,0,5.87301587301587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.9206349206349,0,0,0,0,0,0,0,0,0,0,0,0,0,2.53968253968254,0,0,0
"61",2.19298245614035,0,0,0,0,0,0,0,0,0,0,3.07017543859649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.19298245614035,0,7.89473684210526,0,8.33333333333333,7.45614035087719,2.63157894736842,2.63157894736842,0,0,2.19298245614035,0,37.280701754386,2.63157894736842,0,0,0,0,0,0,3.94736842105263,0,0,0,2.63157894736842,0,0
"62",0,0,0,50.7272727272727,0,10.9545454545454,0,0,0,0,0,0,0,0,0,0,9.95454545454545,0,0,0,0,0,0,0,0,0,0,0,0,0,26.0909090909091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"63",0,12.202743166232,0,0,0,0,0,0,0,6.66850188351203,0,0,0,0,0,7.29450400849995,0,4.7353424128272,0,0,6.99739206027238,2.1538684439293,0,0,2.42973051289481,0,0,4.6568144499179,0,0,0,0,0,0,0,0,0,0,0,2.15918091374481,14.1083743842365,0,0,0,0,0,0,0,0,0,0,0,0,0,3.40481019994205,0,0,0
"64",2.1905138339921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.58339920948616,0,7.95494071146245,0,10.9335968379447,5.16205533596838,0,0,0,0,0,0,37.3913043478261,3.17154150197628,2.4,0,0,0,0,0,0,0,0,0,0,0,0
"65",0,0,0,40.5287569573284,0,12.1428571428571,0,0,0,0,0,0,0,0,0,0,6.86456400742115,0,0,0,0,0,0,0,0,0,0,0,0,0,33.6549165120593,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.3339517625232,0,0,0,0,0,0,0,0
"66",0,20.0310559006211,0,0,0,0,0,0,0,0,0,0,2.95031055900621,0,0,5.74534161490683,0,4.34782608695652,0,0,3.88198757763975,0,0,0,4.19254658385093,0,0,0,2.17391304347826,0,0,0,0,0,0,0,0,0,0,4.19254658385093,19.8757763975155,0,0,0,0,0,0,0,0,0,0,0,2.17391304347826,0,4.81366459627329,0,0,0
